State,numShootings,Black Perc,OnlyWhite Perc,Hispanic Perc,NativeAmer Perc,Asian Perc
CA,924,6.56,38.45,38.63,1.67,14.40
TX,551,12.48,43.52,38.62,1.01,4.54
FL,417,16.78,55.81,24.07,0.50,2.79
AZ,291,4.70,56.21,30.56,5.34,3.29
CO,219,4.46,68.99,21.20,1.58,3.13
GA,213,31.53,54.35,9.26,0.50,3.84
OK,184,7.72,67.02,9.83,9.05,2.10
OH,177,12.63,80.11,3.48,0.27,2.02
NC,176,22.09,64.10,9.00,1.55,2.70
WA,175,4.06,70.39,12.16,1.90,8.18
TN,161,17.08,74.63,5.03,0.45,1.72
MO,155,11.79,80.12,3.95,0.54,1.92
LA,125,32.49,59.34,4.84,0.76,1.78
PA,125,11.61,77.88,6.56,0.35,3.26
IL,122,14.70,62.30,16.72,0.60,5.33
NM,120,2.52,38.90,47.68,10.41,1.66
IN,116,9.57,80.30,6.56,0.40,2.01
AL,115,26.67,66.18,4.14,0.69,1.33
NY,114,17.63,56.53,18.59,0.96,8.50
KY,111,8.23,85.37,3.38,0.28,1.37
VA,109,19.69,63.14,8.85,0.56,6.33
NV,106,9.08,51.50,27.81,1.64,8.32
WI,101,6.58,82.22,6.46,1.11,2.65
OR,99,2.03,77.03,12.52,1.78,4.27
MI,96,14.22,75.82,4.82,0.72,2.86
SC,95,27.77,63.85,5.43,0.53,1.52
MD,90,30.27,52.60,9.33,0.54,6.35
AR,90,15.63,73.40,7.05,0.97,1.48
MS,75,37.50,57.26,2.97,0.58,1.02
UT,75,1.33,79.33,13.56,1.50,2.38
NJ,73,14.78,56.86,19.34,0.59,9.44
MN,73,5.86,81.44,5.07,1.33,4.72
WV,59,3.63,92.49,1.45,0.24,0.81
KS,56,6.26,76.76,11.35,1.19,2.80
ID,49,0.83,82.81,12.01,1.72,1.41
AK,44,3.90,61.95,6.81,14.79,6.06
MA,40,8.28,74.27,10.83,0.49,6.32
MT,38,0.60,86.71,3.45,6.56,0.81
IA,37,3.42,87.10,5.58,0.48,2.23
HI,32,2.43,22.97,10.12,0.46,37.48
NE,28,4.91,80.48,10.19,1.36,2.20
ME,25,1.42,93.76,1.51,0.67,1.19
CT,24,11.51,68.83,15.05,0.51,4.52
SD,19,1.86,83.04,3.60,8.89,1.25
NH,17,1.48,91.28,3.30,0.29,2.54
DE,16,22.23,63.69,8.92,0.64,3.77
DC,16,49.00,35.80,10.40,0.60,4.00
WY,15,1.56,84.11,9.77,2.67,1.01
ND,13,2.11,86.61,3.17,5.44,1.27
VT,9,1.23,93.52,1.77,0.40,1.54
RI,4,7.66,74.53,14.06,0.94,3.50
