County,NumBodyCamOn,NumShootingsOnBlack,NumShootingsOnHispanic,NumShootingsOnWhite,NumShootingsOnNative,NumShootingsOnAsian
Apache County,0,0,0,2,2,0
Cochise County,0,0,3,0,0,0
Coconino County,6,0,1,3,7,0
Gila County,0,0,0,0,1,0
Graham County,0,0,0,0,1,0
Greenlee County,0,0,0,0,1,0
La Paz County,0,0,2,1,1,0
Maricopa County,26,19,64,5,66,0
Mohave County,3,0,2,0,9,0
Navajo County,1,0,0,2,2,0
Pima County,3,2,17,0,12,0
Pinal County,0,1,2,0,6,0
Santa Cruz County,0,0,2,0,0,0
Yavapai County,3,0,0,0,7,0
Yuma County,0,0,2,0,1,0
