State,NUmber of Shootings,Percentage of Armed Shootings,Percentage of Shootings on Black,Percentage of Shootings on Hispanic,Percentage of Shootings on White,Percentage ofS hootings on Native,Percentage of Shootings on Asian,Percentage of Demog is Black,Percentage of Demog is White,Percentage of Demog is Hispanic,Percentage of Demog is Native,Percentage of Demog is Asian
CA,924,91.72,18.48,44.68,31.21,0.49,4.16,6.56,38.45,38.63,1.67,14.40
TX,551,92.12,23.31,33.95,40.70,0.20,1.23,12.48,43.52,38.62,1.01,4.54
FL,417,92.42,34.46,15.40,48.56,0.00,0.26,16.78,55.81,24.07,0.50,2.79
AZ,291,92.22,8.80,39.20,46.80,5.20,0.00,4.70,56.21,30.56,5.34,3.29
CO,219,94.71,9.64,28.43,55.84,2.54,2.54,4.46,68.99,21.20,1.58,3.13
GA,213,91.46,44.79,6.25,47.40,0.00,1.56,31.53,54.35,9.26,0.50,3.84
OK,184,90.23,20.81,5.78,65.90,5.78,1.73,7.72,67.02,9.83,9.05,2.10
OH,177,90.53,40.24,1.18,55.62,0.00,1.18,12.63,80.11,3.48,0.27,2.02
NC,176,97.09,33.53,4.79,61.08,0.00,0.60,22.09,64.10,9.00,1.55,2.70
WA,175,92.68,17.01,16.33,54.42,4.76,6.12,4.06,70.39,12.16,1.90,8.18
TN,161,96.05,23.81,2.72,72.11,0.00,0.68,17.08,74.63,5.03,0.45,1.72
MO,155,93.84,40.15,2.19,56.93,0.00,0.73,11.79,80.12,3.95,0.54,1.92
LA,125,88.50,57.98,1.68,38.66,0.00,1.68,32.49,59.34,4.84,0.76,1.78
PA,125,91.53,41.82,8.18,49.09,0.00,0.91,11.61,77.88,6.56,0.35,3.26
IL,122,94.74,57.76,13.79,28.45,0.00,0.00,14.70,62.30,16.72,0.60,5.33
NM,120,93.69,1.87,70.09,26.17,1.87,0.00,2.52,38.90,47.68,10.41,1.66
IN,116,95.50,29.46,4.46,66.07,0.00,0.00,9.57,80.30,6.56,0.40,2.01
AL,115,95.15,31.13,1.89,66.98,0.00,0.00,26.67,66.18,4.14,0.69,1.33
NY,114,96.40,49.52,10.48,39.05,0.00,0.95,17.63,56.53,18.59,0.96,8.50
KY,111,97.00,15.53,2.91,79.61,0.97,0.97,8.23,85.37,3.38,0.28,1.37
VA,109,91.43,43.27,4.81,49.04,0.96,0.96,19.69,63.14,8.85,0.56,6.33
NV,106,95.88,17.35,31.63,46.94,1.02,3.06,9.08,51.50,27.81,1.64,8.32
WI,101,95.00,23.47,6.12,64.29,4.08,2.04,6.58,82.22,6.46,1.11,2.65
OR,99,95.74,7.95,9.09,82.95,0.00,0.00,2.03,77.03,12.52,1.78,4.27
MI,96,91.40,34.09,2.27,61.36,0.00,1.14,14.22,75.82,4.82,0.72,2.86
SC,95,96.59,30.77,2.20,65.93,0.00,1.10,27.77,63.85,5.43,0.53,1.52
MD,90,90.48,60.67,4.49,33.71,0.00,1.12,30.27,52.60,9.33,0.54,6.35
AR,90,96.47,32.10,0.00,66.67,0.00,1.23,15.63,73.40,7.05,0.97,1.48
MS,75,91.30,37.14,1.43,60.00,0.00,1.43,37.50,57.26,2.97,0.58,1.02
UT,75,97.26,9.72,18.06,66.67,2.78,1.39,1.33,79.33,13.56,1.50,2.38
NJ,73,93.94,52.31,12.31,33.85,0.00,1.54,14.78,56.86,19.34,0.59,9.44
MN,73,90.00,18.06,4.17,62.50,6.94,4.17,5.86,81.44,5.07,1.33,4.72
WV,59,96.30,16.00,0.00,82.00,0.00,2.00,3.63,92.49,1.45,0.24,0.81
KS,56,92.16,12.73,16.36,69.09,1.82,0.00,6.26,76.76,11.35,1.19,2.80
ID,49,97.87,2.22,13.33,80.00,2.22,2.22,0.83,82.81,12.01,1.72,1.41
AK,44,90.91,7.32,0.00,65.85,21.95,4.88,3.90,61.95,6.81,14.79,6.06
MA,40,97.30,21.05,21.05,55.26,0.00,0.00,8.28,74.27,10.83,0.49,6.32
MT,38,100.00,0.00,0.00,86.49,13.51,0.00,0.60,86.71,3.45,6.56,0.81
IA,37,94.12,21.62,0.00,78.38,0.00,0.00,3.42,87.10,5.58,0.48,2.23
HI,32,92.59,3.12,3.12,9.38,0.00,37.50,2.43,22.97,10.12,0.46,37.48
NE,28,92.59,21.43,10.71,64.29,3.57,0.00,4.91,80.48,10.19,1.36,2.20
ME,25,95.83,4.35,4.35,86.96,0.00,0.00,1.42,93.76,1.51,0.67,1.19
CT,24,90.91,21.74,30.43,47.83,0.00,0.00,11.51,68.83,15.05,0.51,4.52
SD,19,94.12,0.00,0.00,68.75,25.00,6.25,1.86,83.04,3.60,8.89,1.25
NH,17,93.75,0.00,0.00,100.00,0.00,0.00,1.48,91.28,3.30,0.29,2.54
DE,16,100.00,46.15,7.69,46.15,0.00,0.00,22.23,63.69,8.92,0.64,3.77
DC,16,87.50,87.50,0.00,12.50,0.00,0.00,49.00,35.80,10.40,0.60,4.00
WY,15,92.31,0.00,14.29,71.43,14.29,0.00,1.56,84.11,9.77,2.67,1.01
ND,13,77.78,0.00,0.00,46.15,53.85,0.00,2.11,86.61,3.17,5.44,1.27
VT,9,88.89,0.00,0.00,88.89,11.11,0.00,1.23,93.52,1.77,0.40,1.54
RI,4,100.00,50.00,25.00,25.00,0.00,0.00,7.66,74.53,14.06,0.94,3.50
